id,repo_name,owner_name,is_private,project_url,Description,is_forked,api_url,created_at,updated_at,pushed_at,homepage_url,size_in_kb,stargazers_count,watchers_count,language,forks_count,open_issues_count,master_branch,default_branch,Topics,license,model_files,num_model_file,version_sha
789683,ECAN_dspic,Susurrus,0,https://github.com/Susurrus/ECAN_dspic,An ECAN library for the dsPIC33f in both C and Simulink,0,https://api.github.com/repos/Susurrus/ECAN_dspic,2010-07-21 21:39:55.000000,2017-04-14 04:08:40.000000,2012-11-05 20:00:53.000000,,,0,0,C,7,1,,master,,"BSD 2-Clause ""Simplified"" License","ECAN_dspic-master/ecan_dspic.mdl,ECAN_dspic-master/Examples/Simulink echo/Main.mdl,ECAN_dspic-master/Examples/MultiReceive/MultiReceive.mdl,",3,0051e8902eaf3ba07811c8c1753120d894772937
919495,truetime,sfischme,0,https://github.com/sfischme/truetime,TrueTime is a Matlab/Simulink-based simulator for real-time control systems.,0,https://api.github.com/repos/sfischme/truetime,2010-09-17 21:41:34.000000,2019-02-27 09:29:27.000000,2011-01-05 04:39:50.000000,http://www.control.lth.se/truetime/,,4,4,C++,18,1,,master,,GNU General Public License v3.0,"truetime-master/kernel/ttNCM_Wrapper.mdl,truetime-master/kernel/truetime.mdl,truetime-master/kernel/NCM.mdl,truetime-master/examples/wireless/wireless.mdl,truetime-master/examples/threeservos/matlab/threeservos.mdl,truetime-master/examples/threeservos/c++/threeservos.mdl,truetime-master/examples/soccer/soccer.mdl,truetime-master/examples/simple/matlab/simple.mdl,truetime-master/examples/simple/c++/simple.mdl,truetime-master/examples/servo/matlab/servo.mdl,truetime-master/examples/servo/matlab/controller.mdl,truetime-master/examples/servo/c++/servo.mdl,truetime-master/examples/servo/c++/controller.mdl,truetime-master/examples/networked/standalone/networked.mdl,truetime-master/examples/networked/matlab/networked.mdl,truetime-master/examples/networked/c++/networked.mdl,truetime-master/examples/RUNES_demo/RUNES_demo.mdl,truetime-master/examples/NCM/ncmexample.mdl,truetime-master/examples/NCM/ncm_wireless/wireless.mdl,truetime-master/examples/NCM/VideoModel/motion_detection.mdl,truetime-master/examples/NCM/VideoModel/SaveToWorkspace.mdl,truetime-master/examples/AODV/AODV.mdl,",22,d1a288960def71acdf2e8a21ae47aa6d69336fab
4608325,launchpad_ert,kyak,0,https://github.com/kyak/launchpad_ert,Simulink (Embedded Coder) Target for TI LaunchPad,0,https://api.github.com/repos/kyak/launchpad_ert,2012-06-09 15:47:56.000000,2019-10-15 12:09:18.000000,2014-05-20 09:25:11.000000,,,7,7,Matlab,5,0,,master,,Other,"launchpad_ert-master/demos/tilp_pil_system.mdl,launchpad_ert-master/demos/tilp_pil_fxp.slx,launchpad_ert-master/demos/tilp_pil.mdl,launchpad_ert-master/demos/tilp_fxp.slx,launchpad_ert-master/demos/test_multirate_system.slx,launchpad_ert-master/demos/test_multirate.slx,launchpad_ert-master/demos/launchpad_R2013b.slx,launchpad_ert-master/demos/launchpad_R2012b.slx,launchpad_ert-master/demos/launchpad_R2012a.mdl,launchpad_ert-master/demos/launchpad.slx,launchpad_ert-master/blocks/launchpad_lib.mdl,",11,4b004e42d8736ca807530ae3f3132196477a5181
4790726,osx-sl-joystick,zprime,0,https://github.com/zprime/osx-sl-joystick,Access Joysticks in Simulink on OSX,0,https://api.github.com/repos/zprime/osx-sl-joystick,2012-06-26 04:02:54.000000,2013-12-23 08:33:48.000000,2012-07-19 10:23:38.000000,,,1,1,C++,0,0,,master,,Other,"osx-sl-joystick-master/bin/osx_joystick.mdl,",1,35b428b88f1a1a759fe9bcbe4511da9577f42dab
5480060,simulink-rtl-sdr,kit-cel,0,https://github.com/kit-cel/simulink-rtl-sdr,An Open Source Software Package that enables owners of DVB-T dongles with an embedded Realtek RTL2832U chipset to build models in Simulink that interface with the device in realtime,0,https://api.github.com/repos/kit-cel/simulink-rtl-sdr,2012-08-20 10:54:52.000000,2019-04-01 13:00:02.000000,2014-01-22 07:57:36.000000,http://www.cel.kit.edu/simulink_rtl_sdr.php,,27,27,C++,17,1,,master,,GNU General Public License v3.0,"simulink-rtl-sdr-master/demo/rtlsdr_spectrum_scope_demo.mdl,simulink-rtl-sdr-master/blockset/rtlsdr.mdl,",2,3fefdd32f0f57a1c6de3d00ad999941593447bae
5791243,simulink-uhd,kit-cel,0,https://github.com/kit-cel/simulink-uhd,A Simulink blockset that enables owners of UHD-compatible Universal Software Radio Peripherals (USRP) from Ettus Research to build models in MATLAB Simulink that interface with the device in real-time.,0,https://api.github.com/repos/kit-cel/simulink-uhd,2012-09-13 07:21:35.000000,2018-02-01 19:53:00.000000,2013-02-14 10:50:00.000000,http://www.cel.kit.edu/simulink_uhd.php,,3,3,C++,4,0,,master,,GNU General Public License v3.0,"simulink-uhd-master/demo/simulink_uhd_spectrum_scope_demo.mdl,simulink-uhd-master/blockset/simulink_uhd.mdl,",2,fdc299a711439ace545ea5c9d42d0dcf7f603fcf
7114722,aria-matlab,reed-adept,0,https://github.com/reed-adept/aria-matlab,OUTDATED Matlab and Simulink Interfaces for ARIA -- most up to date code can now be found with the ARIA library package -- see website,0,https://api.github.com/repos/reed-adept/aria-matlab,2012-12-11 16:06:11.000000,2016-08-05 18:53:32.000000,2013-10-01 19:16:14.000000,http://robots.mobilerobots.com/wiki/ARIA,,4,4,Matlab,7,10,,master,,Other,"aria-matlab-master/simulink-demo/Sensor_Lib.slx,aria-matlab-master/simulink-demo/Pioneer_3Dx.slx,aria-matlab-master/simulink-demo/Motor_Lib.slx,aria-matlab-master/simulink-demo/IO_Lib.slx,aria-matlab-master/examples/Simple_wanderer_local.slx,aria-matlab-master/examples/Simple_wanderer_external.slx,aria-matlab-master/examples/Simple_wanderer.slx,aria-matlab-master/ariac-simulink-library/ariac.slx,",8,12bc82e2f5ecc7463510e304a979533ab91966cd
7269901,stellaris_ert,kyak,0,https://github.com/kyak/stellaris_ert,Simulink (Embedded Coder) Target for TI Stellaris LaunchPad,0,https://api.github.com/repos/kyak/stellaris_ert,2012-12-21 06:49:45.000000,2019-12-23 00:43:25.000000,2019-03-20 11:27:41.000000,,,10,10,C,10,0,,master,,Other,"stellaris_ert-master/demos/stellaris_test_uart_nb.slx,stellaris_ert-master/demos/stellaris_test_uart.slx,stellaris_ert-master/demos/stellaris_test_tempsensor.slx,stellaris_ert-master/demos/stellaris_test_pilcov.slx,stellaris_ert-master/demos/stellaris_test_pil_profile.slx,stellaris_ert-master/demos/stellaris_test_pil.slx,stellaris_ert-master/demos/stellaris_test_gpio_xpc.slx,stellaris_ert-master/demos/stellaris_test_gpio.slx,stellaris_ert-master/demos/stellaris_test_buttons.slx,stellaris_ert-master/demos/stellaris_test_blink.slx,stellaris_ert-master/demos/stellaris_test_adc_xpc.slx,stellaris_ert-master/demos/stellaris_test_adc.slx,stellaris_ert-master/demos/stellaris_pil_topmodel.slx,stellaris_ert-master/demos/stellaris_pil_mdlref_mr.slx,stellaris_ert-master/demos/stellaris_pil_mdlref.slx,stellaris_ert-master/demos/stellaris_fft_system.slx,stellaris_ert-master/demos/stellaris_fft.slx,stellaris_ert-master/demos/lp_pmsmfoc_system.slx,stellaris_ert-master/demos/lp_pmsmfoc.slx,stellaris_ert-master/blocks/stellaris_lib.slx,",20,65ba23321655d3f07ee5aa2032bc9db175b2b100
10687821,microdaq_ert,kyak,0,https://github.com/kyak/microdaq_ert,Simulink (Embedded Coder) Target for MicroDAQ Real-Time Measurement System,0,https://api.github.com/repos/kyak/microdaq_ert,2013-06-14 11:46:52.000000,2019-08-04 19:14:37.000000,2017-06-07 19:58:27.000000,,,2,2,C,1,0,,master,,Other,"microdaq_ert-master/demos/mdaqdemos_rc_controller.slx,microdaq_ert-master/demos/mdaqdemo_vs.slx,microdaq_ert-master/demos/mdaqdemo_usend_hst.slx,microdaq_ert-master/demos/mdaqdemo_usend.slx,microdaq_ert-master/demos/mdaqdemo_urecv_hst.slx,microdaq_ert-master/demos/mdaqdemo_urecv.slx,microdaq_ert-master/demos/mdaqdemo_uart.slx,microdaq_ert-master/demos/mdaqdemo_tsend.slx,microdaq_ert-master/demos/mdaqdemo_trecv.slx,microdaq_ert-master/demos/mdaqdemo_testanalog.slx,microdaq_ert-master/demos/mdaqdemo_pilbuf.slx,microdaq_ert-master/demos/mdaqdemo_pil.slx,microdaq_ert-master/demos/mdaqdemo_mem.slx,microdaq_ert-master/demos/mdaqdemo_led_mlink.slx,microdaq_ert-master/demos/mdaqdemo_led.slx,microdaq_ert-master/demos/mdaqdemo_fft.slx,microdaq_ert-master/demos/mdaqdemo_extbuf.slx,microdaq_ert-master/demos/mdaqdemo_ext.slx,microdaq_ert-master/demos/mdaqdemo_enc.slx,microdaq_ert-master/demos/mdaqdemo_analog.slx,microdaq_ert-master/demos/mdaqdemo_adc.slx,microdaq_ert-master/demos/mdaq_vipstab.slx,microdaq_ert-master/demos/mdaq_pilbuf.slx,microdaq_ert-master/demos/mdaq_mdlref.slx,microdaq_ert-master/demos/mdaq_fft.slx,microdaq_ert-master/demos/mdaq_dac.slx,microdaq_ert-master/demos/mdaq_analog.slx,microdaq_ert-master/demos/mdaq_adc.slx,microdaq_ert-master/blocks/microdaq_lib.slx,",29,e3ffa4138349557af2f7e844becd17324714f21b
11530296,simulink_BetterPortOrder,jed-frey,0,https://github.com/jed-frey/simulink_BetterPortOrder,Simulink tools to optimally connect different subsystems,0,https://api.github.com/repos/jed-frey/simulink_BetterPortOrder,2013-07-19 15:00:30.000000,2018-05-13 22:34:57.000000,2018-05-13 22:34:55.000000,,,0,0,Matlab,0,0,,master,,"BSD 3-Clause ""New"" or ""Revised"" License","simulink_BetterPortOrder-master/portOrderDemo.mdl,",1,a31479b353154c7895ed71e8922228210c709250
