,FILE_ID,Description,SCHK_Block_count,Agg_SubSystem_count,Hierarchy_depth,LibraryLinked_Count,total_ConnH_cnt,clean_description,clean_description_tokens,combined_clusters
0,789683,An ECAN library for the dsPIC33f in both C and Simulink,50,11,3,6,33,ecan dspic,"['ecan', 'dspic']",2
1,919495,TrueTime is a Matlab/Simulink-based simulator for real-time control systems.,967,152,3,83,957,truetime base real time control,"['truetime', 'base', 'real', 'time', 'control']",2
2,4608325,Simulink (Embedded Coder) Target for TI LaunchPad,401,58,3,20,249,embed coder target launchpad,"['embed', 'coder', 'target', 'launchpad']",2
3,5480060,An Open Source Software Package that enables owners of DVB-T dongles with an embedded Realtek RTL2832U chipset to build models in Simulink that interface with the device in realtime,3,0,1,1,1,open source software package enable owner dvb dongle embed realtek rtl chipset build interface device realtime,"['open', 'source', 'software', 'package', 'enable', 'owner', 'dvb', 'dongle', 'embed', 'realtek', 'rtl', 'chipset', 'build', 'interface', 'device', 'realtime']",2
4,5791243,A Simulink blockset that enables owners of UHD-compatible Universal Software Radio Peripherals (USRP) from Ettus Research to build models in MATLAB Simulink that interface with the device in real-time.,3,0,1,1,1,blockset enable owner uhd compatible universal software radio peripheral usrp ettus research build interface device real time,"['blockset', 'enable', 'owner', 'uhd', 'compatible', 'universal', 'software', 'radio', 'peripheral', 'usrp', 'ettus', 'research', 'build', 'interface', 'device', 'real', 'time']",2
5,7114722,OUTDATED Matlab and Simulink Interfaces for ARIA -- most up to date code can now be found with the ARIA library package -- see website,32,0,1,14,26,outdated interface aria date code find aria package see website,"['outdated', 'interface', 'aria', 'date', 'code', 'find', 'aria', 'package', 'see', 'website']",2
6,7269901,Simulink (Embedded Coder) Target for TI Stellaris LaunchPad,1256,114,9,27,792,embed coder target stellaris launchpad,"['embed', 'coder', 'target', 'stellaris', 'launchpad']",2
7,10687821,Simulink (Embedded Coder) Target for MicroDAQ Real-Time Measurement System,652,62,6,30,534,embed coder target microdaq real time measurement,"['embed', 'coder', 'target', 'microdaq', 'real', 'time', 'measurement']",2
8,11530296,Simulink tools to optimally connect different subsystems,55,8,3,0,18,tool optimally connect different subsystem,"['tool', 'optimally', 'connect', 'different', 'subsystem']",2
9,13657960,Script which tries to run a Simulink model using the fixed point toolbox.,15,0,1,0,15,script try run fix point toolbox,"['script', 'try', 'run', 'fix', 'point', 'toolbox']",2
10,13685163,ARDrone for Simulink DevKit_V1,186,23,2,15,223,ardrone devkit,"['ardrone', 'devkit']",2
11,14375685,"An open source thermodynamic modeling package completed on behalf of NASA. The Toolbox for the Modeling and Analysis of Thermodynamic Systems (T-MATS) package offers a MATLAB/Simulink toolbox that gives a developer the ability to create simulations of such thermodynamic systems as turbomachinery and gas turbines. Keywords: TMATS, Control System, Numerical Methods, Newton-Raphson, Jacobian Calculation, Propulsion, Aircraft Engine, Jet, Turbofan, Turbojet, Compressor, Turbine, Nozzle, Inlet, open source",2633,222,4,215,2505,open source thermodynamic modeling package complete behalf nasa toolbox analysis thermodynamic mat package offer toolbox give developer ability create thermodynamic turbomachinery gas turbine keywords tmats control numerical method newton raphson jacobian calculation propulsion aircraft engine jet turbofan turbojet compressor turbine nozzle inlet open source,"['open', 'source', 'thermodynamic', 'modeling', 'package', 'complete', 'behalf', 'nasa', 'toolbox', 'analysis', 'thermodynamic', 'mat', 'package', 'offer', 'toolbox', 'give', 'developer', 'ability', 'create', 'thermodynamic', 'turbomachinery', 'gas', 'turbine', 'keywords', 'tmats', 'control', 'numerical', 'method', 'newton', 'raphson', 'jacobian', 'calculation', 'propulsion', 'aircraft', 'engine', 'jet', 'turbofan', 'turbojet', 'compressor', 'turbine', 'nozzle', 'inlet', 'open', 'source']",2
12,17516671,Hyperloop model in Simulink for collaboration,314,42,5,10,302,hyperloop collaboration,"['hyperloop', 'collaboration']",2
