,id,repo_name,owner_name,is_private,project_url,Description,is_forked,api_url,created_at,updated_at,pushed_at,homepage_url,size_in_kb,stargazers_count,watchers_count,language,forks_count,open_issues_count,master_branch,default_branch,Topics,license,model_files,num_model_file,version_sha,updated-created,desc_word_count,numeric_cluster
3,4790726,osx-sl-joystick,zprime,0,https://github.com/zprime/osx-sl-joystick,Access Joysticks in Simulink on OSX,0,https://api.github.com/repos/zprime/osx-sl-joystick,2012-06-26 04:02:54.000000,2013-12-23 08:33:48.000000,2012-07-19 10:23:38.000000,,,1,1,C++,0,0,,master,,Other,"osx-sl-joystick-master/bin/osx_joystick.mdl,",1,35b428b88f1a1a759fe9bcbe4511da9577f42dab,545,6,0
10,13657960,simulink_exercise_fixedpoint,morganp,0,https://github.com/morganp/simulink_exercise_fixedpoint,Script which tries to run a Simulink model using the fixed point toolbox.,0,https://api.github.com/repos/morganp/simulink_exercise_fixedpoint,2013-10-17 18:50:23.000000,2013-11-18 08:12:40.000000,2013-11-18 08:12:36.000000,,,0,0,M,0,0,,master,,"BSD 3-Clause ""New"" or ""Revised"" License","simulink_exercise_fixedpoint-master/exercise_fixedpoint_2009b.mdl,simulink_exercise_fixedpoint-master/exercise_fixedpoint_2008b.mdl,simulink_exercise_fixedpoint-master/exercise_fixedpoint.slx,",3,2fc7848277bde91567261fdc3bfb4a44df1657f5,32,13,0
15,17750385,mpc-robot,Bazs,0,https://github.com/Bazs/mpc-robot,Simulink software for the MPC555-based embedded robot controller,0,https://api.github.com/repos/Bazs/mpc-robot,2014-03-14 15:18:00.000000,2014-05-21 13:02:27.000000,2014-05-21 13:02:27.000000,,,0,0,C,1,0,,master,,MIT License,"mpc-robot-master/trajectory_test.mdl,mpc-robot-master/switch_test.mdl,mpc-robot-master/serial_test.mdl,mpc-robot-master/mpc_lib.mdl,mpc-robot-master/invgeo_test.mdl,mpc-robot-master/function_call_test.mdl,mpc-robot-master/controller_test_2006.mdl,mpc-robot-master/can_test.mdl,mpc-robot-master/MPC_framework.mdl,mpc-robot-master/Dof2 test/dof2_test.mdl,mpc-robot-master/2012 version/controller_test_2006a.mdl,mpc-robot-master/2012 version/controller_test.mdl,",12,dd0c58e37b5984affb922410a3d2ace5f664d31d,68,8,0
16,21655911,Stateflow_examples,morganp,0,https://github.com/morganp/Stateflow_examples,Examples of Mealy and Moor State Machines in Simulink Stateflow,0,https://api.github.com/repos/morganp/Stateflow_examples,2014-07-09 14:46:09.000000,2014-07-11 12:36:31.000000,2014-07-11 12:36:30.000000,,,0,0,Verilog,0,0,,master,,"BSD 3-Clause ""New"" or ""Revised"" License","Stateflow_examples-master/Stateflow_Moore_example.slx,Stateflow_examples-master/Stateflow_Mealy_example.slx,",2,2b2031bd519566f10483ce211e5edb89d4f107a7,2,10,0
18,22542401,Remote-Robot-Simulink,RushangKaria,0,https://github.com/RushangKaria/Remote-Robot-Simulink,A software in the loop simulation using Simulink of a robot based on the model described in http://www.csl.sri.com/~shankar/ModelRob.tar,0,https://api.github.com/repos/RushangKaria/Remote-Robot-Simulink,2014-08-02 08:35:51.000000,2014-08-02 08:36:04.000000,2014-08-02 08:36:04.000000,,,0,0,C,0,0,,master,,GNU General Public License v3.0,"Remote-Robot-Simulink-master/simulink/Target.slx,Remote-Robot-Simulink-master/simulink/Host.mdl,Remote-Robot-Simulink-master/original robot/robot_step.mdl,Remote-Robot-Simulink-master/original robot/robot_point.mdl,Remote-Robot-Simulink-master/original robot/robot_circular.mdl,Remote-Robot-Simulink-master/original robot/robot_8bit.mdl,Remote-Robot-Simulink-master/original robot/robot_16bit.mdl,Remote-Robot-Simulink-master/original robot/library.mdl,Remote-Robot-Simulink-master/original robot/conformance_checker.mdl,",9,552f16fdf0db07d02773243905a87f2e1fbe0610,0,18,0
22,27298557,Simulink,Drudoo,0,https://github.com/Drudoo/Simulink,Various Simulink patches,0,https://api.github.com/repos/Drudoo/Simulink,2014-11-29 10:17:22.000000,2014-11-29 10:17:22.000000,2014-11-29 11:49:59.000000,,,0,0,,0,0,,master,,MIT License,"Simulink-master/UDP_Receive_Expanded.mdl,Simulink-master/UDP_Receive.mdl,",2,276ab74487c403b8587b0c6f8e1fb3feb8a9e264,0,3,0
23,27349021,RobotModel,kuparez,0,https://github.com/kuparez/RobotModel,Math model of robot for Simulink course,0,https://api.github.com/repos/kuparez/RobotModel,2014-11-30 20:31:25.000000,2016-10-26 11:31:55.000000,2014-11-30 20:44:10.000000,,,0,0,Matlab,1,0,,master,,Apache License 2.0,"RobotModel-master/Model.slx,",1,9472174c02abcb4940b9dd26db7a9849c85d3c7a,696,7,0
28,29535877,pattern-observers,lgwagner,0,https://github.com/lgwagner/pattern-observers,A repository that captures the derived Lustre and Simulink Design Verifier synchronous observers for the specification patterns work at http://patterns.projects.cis.ksu.edu/,0,https://api.github.com/repos/lgwagner/pattern-observers,2015-01-20 15:14:24.000000,2017-02-22 21:56:22.000000,2017-02-24 14:40:25.000000,,,1,1,,0,0,,master,,Other,"pattern-observers-master/stateflow/test_pltl.slx,pattern-observers-master/stateflow/test_patterns.slx,pattern-observers-master/stateflow/pltl_identities.slx,pattern-observers-master/stateflow/patterns_library_2013b.slx,pattern-observers-master/stateflow/patterns_library_2013a.slx,pattern-observers-master/stateflow/patterns_library.slx,",6,667fc586ba8164ce22c6b01e19ada8f0221a9913,764,20,0
29,29702360,LeanPulse-SyD,aurelienprost,0,https://github.com/aurelienprost/LeanPulse-SyD,The LeanPulse System Documents generator (SyD) is a powerful tool enabling easy and fast generation of rich PDF documents from your Simulink® and Xcos models.,0,https://api.github.com/repos/aurelienprost/LeanPulse-SyD,2015-01-22 21:56:33.000000,2015-01-25 17:05:38.000000,2015-01-22 22:21:27.000000,http://www.leanpulse.com/products/syd.html,,0,0,XSLT,0,0,,master,,Other,"LeanPulse-SyD-master/test/matlab/material/single/demo/SyDdemo.mdl,LeanPulse-SyD-master/test/matlab/material/architecture/sydlink/children/SyDdemoChildren.mdl,LeanPulse-SyD-master/test/matlab/material/architecture/sydlink/SyDdemo.mdl,LeanPulse-SyD-master/test/matlab/material/architecture/modelref/output/SyDdemoPWMOutput.mdl,LeanPulse-SyD-master/test/matlab/material/architecture/modelref/diag/SyDdemoDiagEna.mdl,LeanPulse-SyD-master/test/matlab/material/architecture/modelref/SyDdemo.mdl,LeanPulse-SyD-master/src/matlab/demos/SyDdemo.mdl,",7,f32187fd645fa28420f4daf1f54926ca5b99ba2e,3,25,0
31,31970765,apolom,pauloaugustonardi,0,https://github.com/pauloaugustonardi/apolom,Test oracle tool for Simulink models (Matlab 2008b),0,https://api.github.com/repos/pauloaugustonardi/apolom,2015-03-10 17:14:21.000000,2015-03-10 17:50:53.000000,2015-03-10 17:50:53.000000,,,0,0,HTML,0,0,,master,,GNU General Public License v3.0,"apolom-master/modelexample/lorenz4.mdl,",1,41cf03a138ce4c13ac8f2d86853698daa1ea4c8d,0,8,0
