,repo_name,Description,stargazers_count,forks_count,num_model_file,updated-created,cluster1
0,ECAN_dspic,An ECAN library for the dsPIC33f in both C and Simulink,0,7,3,2459,1
1,truetime,TrueTime is a Matlab/Simulink-based simulator for real-time control systems.,4,18,22,3085,1
2,launchpad_ert,Simulink (Embedded Coder) Target for TI LaunchPad,7,5,11,2684,1
3,osx-sl-joystick,Access Joysticks in Simulink on OSX,1,0,1,545,0
4,simulink-rtl-sdr,An Open Source Software Package that enables owners of DVB-T dongles with an embedded Realtek RTL2832U chipset to build models in Simulink that interface with the device in realtime,27,17,2,2415,1
5,simulink-uhd,A Simulink blockset that enables owners of UHD-compatible Universal Software Radio Peripherals (USRP) from Ettus Research to build models in MATLAB Simulink that interface with the device in real-time.,3,4,2,1967,1
6,aria-matlab,OUTDATED Matlab and Simulink Interfaces for ARIA -- most up to date code can now be found with the ARIA library package -- see website,4,7,8,1333,1
7,stellaris_ert,Simulink (Embedded Coder) Target for TI Stellaris LaunchPad,10,10,20,2558,1
8,microdaq_ert,Simulink (Embedded Coder) Target for MicroDAQ Real-Time Measurement System,2,1,29,2242,1
9,simulink_BetterPortOrder,Simulink tools to optimally connect different subsystems,0,0,1,1759,1
10,simulink_exercise_fixedpoint,Script which tries to run a Simulink model using the fixed point toolbox.,0,0,3,32,0
11,AR_Drone_Simulink,ARDrone for Simulink DevKit_V1,5,3,6,2175,1
12,T-MATS,"An open source thermodynamic modeling package completed on behalf of NASA. The Toolbox for the Modeling and Analysis of Thermodynamic Systems (T-MATS) package offers a MATLAB/Simulink toolbox that gives a developer the ability to create simulations of such thermodynamic systems as turbomachinery and gas turbines. Keywords: TMATS, Control System, Numerical Methods, Newton-Raphson, Jacobian Calculation, Propulsion, Aircraft Engine, Jet, Turbofan, Turbojet, Compressor, Turbine, Nozzle, Inlet, open source",128,91,168,2239,1
13,hyperloop_sl,Hyperloop model in Simulink for collaboration,19,13,13,2124,1
14,MathWorks_tools,Scripts and tools created by ADI to be used with MATLAB and Simulink with ADI products,47,122,39,2110,1
15,mpc-robot,Simulink software for the MPC555-based embedded robot controller,0,1,12,68,0
16,Stateflow_examples,Examples of Mealy and Moor State Machines in Simulink Stateflow,0,0,2,2,0
17,RaspberryPiRobot,Control a Raspberry Pi powered robot with MATLAB and Simulink,9,7,1,1885,1
18,Remote-Robot-Simulink,A software in the loop simulation using Simulink of a robot based on the model described in http://www.csl.sri.com/~shankar/ModelRob.tar,0,0,9,0,0
19,Stimela,Stimela is an environment for standardised mathematical models of drinking water treatment processes in Matlab/Simulink,5,6,79,1737,1
20,matudp,Bus communication layer and data logger for Simulink Real Time (xPC Target),0,1,22,1932,1
21,massif,Massif is a Matlab Simulink Integration Framework for Eclipse,17,10,43,1920,1
22,Simulink,Various Simulink patches,0,0,2,0,0
23,RobotModel,Math model of robot for Simulink course,0,1,1,696,0
24,matlab_ros_bridge,Set of simulink s-functions to communicate with ROS,18,16,9,1855,1
25,minJerk,Example of how to model systems with Simulink and generate the code,4,0,1,1534,1
26,TORCSLink,An interface between The Open Source Race Car Simulator (TORCS) and MATLAB/Simulink (or anything else...),12,12,1,1857,1
27,Simulink-Eigen3,"Using Eigen3 to accelerate Simulink; e.g. matrix multiplication; these s-functions can also be used with Simulink Coder; e.g. to accelearte huge matrix multiplication by using AVX2, FMA, AVX, SSE3, ... on a x86 platform",3,1,4,1706,1
28,pattern-observers,A repository that captures the derived Lustre and Simulink Design Verifier synchronous observers for the specification patterns work at http://patterns.projects.cis.ksu.edu/,1,0,6,764,0
29,LeanPulse-SyD,The LeanPulse System Documents generator (SyD) is a powerful tool enabling easy and fast generation of rich PDF documents from your Simulink® and Xcos models.,0,0,7,3,0
30,simulink-parser-py,Simulink parser using pyparsing,2,0,2,1472,1
31,apolom,Test oracle tool for Simulink models (Matlab 2008b),0,0,1,0,0
32,SimulinkARDroneTarget,Deploy MATLAB Simulink model automatically to Parrot AR Drone with Embedded Coder C code generation,16,23,40,1657,1
33,skyward-simulink-blockset,This repository contains the Simulink blockset for Sensors used on the calibration platform,1,0,1,1361,1
34,Quadcopter-FYP-legacy,"Contains C++ microcontoller code, Maltab code, simulink smulations, full reports, and related documents for an FYP in quadcopter control",0,0,70,0,0
35,simulation-fahrzeugfederung,"Kontinuierliche, analoge Simulation einer Fahrzeugfederung mit MATLAB/Simulink, WinFACT, Scilab / Scicos, WinDORA",0,0,2,29,0
36,simulink2mavlink,Routines for getting mavlink packets from raw data in Matlab and simulink real-time for use in simulations,0,1,2,0,0
37,RCAMAircraftVisualization,Matlab/Simulink files necessary to visualize and render the Research Civil Aircraft Model (RCAM) simulation.,0,11,1,0,0
38,Matlab,"MicroDAQ software package allows using MicroDAQ device with Matlab/Simulink software. Software can be used for data acquisition and for code generation from Simulink diagram. External, PIL, Standalone application can be generated. ",1,0,20,1352,1
39,simulinkWatchdogs,Watchdog timer and counter for simulink,0,0,2,0,0
40,bibliotheque_SII,Bibliothèque de composants Matlab/Simulink/Simscape pour l'enseignement des Sciences Industrielles de l'Ingénieur,1,0,6,1694,1
41,ibm_scara_7575_controller,Controller for the ancient IBM SCARA 7575 Robot using Code generated by Matlab Simulink for the STM32 F4,0,1,2,255,0
42,qrsim2,"Quadrotor / UAV Simulator using Matlab, Simulink and Flightgear Visualization",22,13,6,1655,1
43,protosim,Simulink protobuf modulue,0,0,2,3,0
44,Simulink_AR_Drone,Deploy MATLAB Simulink model automatically to Parrot AR Drone with Embedded Coder C code generation,0,2,17,0,0
45,fluffy-woof,MATLAB/Simulink shenanigans,0,0,1,0,0
46,redis-simulink,Example of a C Simulink S-Function block implementing a REDIS connector to interact with a REDIS server.,5,2,1,1179,1
47,HTWAA_car_32b,Software for self driving model car with Cortex M4 and MATLAB Simulink,0,0,4,2,0
48,skyward-blimp-blockset,This repo contain the simulink blockset used during the ASGN&C course held at Politecnico di Milano,0,1,4,90,0
49,sym-simulink,symbolic and concrete execution environment for Simulink,0,1,3,25,0
50,simulink-hackrf,Simulink blockset and MATLAB functions to interface with HackRF devices in real-time,22,13,3,1424,1
51,daqbeagle,Simulink/Matlab library and target for data aquisition via the beaglebone black in real-time,2,1,3,1371,1
52,wb-toolbox,Simulink toolbox to rapidly prototype robot controllers,12,9,2,1516,1
53,crazyflie-client-matlab,Matlab/Simulink client to control Crazyflie Quadcopter,0,3,4,64,0
54,MatTrans,MATTRANS - A MATLAB(R)/Simulink Power System Transient Stability Simulation Package,5,4,40,1463,1
55,sphinx-simulink,Python Sphinx plugin to include MATLAB Simulink models (e.g. diagrams or information) into .rst documentation,1,1,3,696,0
56,simulink-utils,A Collection of useful Simulink utilities,4,0,1,1409,1
57,MATLAB-Tutorials,"Image Processing MATLAB Codes, Simulink, GUI, and Standalone Applications",11,15,1,1343,1
58,RCK_Project,MATLAB/Simulink RCK Project,0,0,1,0,0
59,apollo,Apollo Lunar Lander Simulator with Simulink Control,0,0,3,0,0
60,PlanarUEModel,Simulink Model of Planar Arm Movements for Real-Time Control,0,0,1,10,0
61,CityDrain2,CITY DRAIN 2 is an open source toolbox for integrated modelling of urban drainage systems realized in Matlab/Simulink.,1,2,4,572,0
62,SimulinkLibraryForJava,Fork of https://www.cqse.eu/en/products/simulink-library-for-java/overview/,0,0,64,0,0
63,Modbus-Matlab-Simulator,A Matlab/Simulink library that allows basic Modbus/TCP read and write operations,4,4,1,1289,1
64,cessna-control,A Matlab and Simulink project. The purpose is to control the altitude of a Cessna Citation 500 aircraft.,0,1,5,1214,1
65,course_simulink,Examples and Exercises for the Simulink Course 2016-2017,3,3,28,1194,1
66,BLDC_Simulink,Simulink Simulation of BLDC Motor,1,0,1,579,0
67,CompliantJointToolbox,Compliant Joint Toolbox (CJT) for MATLAB and Simulink,11,7,23,1311,1
